# ----------------------------------------,,,,,,
# Reports snapshot,,,,,,
# Account: BGW Doors,,,,,,
# Property: BGW Doors,,,,,,
# ----------------------------------------,,,,,,
#,,,,,,
# Start date: 20260101,,,,,,
# End date: 20260709,,,,,,
Sessions,Add to carts,Purchases,Checkouts,,,
65848,963,44,566,,,
,,,,,,
#,,,,,,
# Start date: 20260101,,,,,,
# End date: 20260709,,,,,,
Nth day,Active users,,,,,
96,12619,2237,242,,,
97,12557,2193,272,,,
98,12560,2232,362,,,
99,12269,2178,309,,,
100,11223,2274,417,,,
101,11193,2246,397,,,
102,10085,2215,339,,,
103,9386,2315,350,,,
104,9162,2381,334,,,
105,8842,2391,365,,,
106,8835,2355,273,,,
107,9073,2409,484,,,
108,9227,2423,411,,,
109,9261,2419,333,,,
110,9150,2329,262,,,
111,9169,2269,275,,,
112,9222,2278,366,,,
113,9180,2244,240,,,
114,9061,2007,229,,,
115,9039,1901,287,,,
116,8974,1829,249,,,
117,8940,1810,246,,,
118,8878,1762,233,,,
119,8756,1603,201,,,
120,8641,1574,210,,,
121,8524,1543,203,,,
122,8398,1494,237,,,
123,8289,1442,195,,,
124,8060,1373,169,,,
125,7907,1329,186,,,
126,7873,1345,219,,,
127,7781,1312,173,,,
128,7598,1272,158,,,
129,7475,1208,170,,,
130,7327,1271,256,,,
131,7100,1251,159,,,
132,6903,1165,100,,,
133,6661,1023,75,,,
134,6419,948,91,,,
135,6196,894,106,,,
136,6044,847,112,,,
137,5687,692,89,,,
138,5389,626,91,,,
139,5183,629,99,,,
140,5002,618,64,,,
141,5006,792,266,,,
142,5172,1195,511,,,
143,5690,1821,749,,,
144,5953,2221,499,,,
145,6248,2653,533,,,
146,6483,3038,496,,,
147,6706,3419,463,,,
148,7001,3650,517,,,
149,7380,3730,600,,,
150,7806,3639,648,,,
151,8050,3610,481,,,
152,8368,3627,553,,,
153,8597,3564,445,,,
154,8869,3557,465,,,
155,9138,3531,485,,,
156,9536,3544,622,,,
157,9908,3479,580,,,
158,10337,3574,584,,,
159,10773,3638,610,,,
160,11138,3793,612,,,
161,11452,3917,594,,,
162,11883,4018,585,,,
163,12432,4092,688,,,
164,13164,4411,899,,,
165,13578,4403,584,,,
166,14024,4408,617,,,
167,14612,4456,658,,,
168,15058,4439,579,,,
169,15530,4488,639,,,
170,16019,4454,642,,,
171,16499,4348,789,,,
172,16522,4311,551,,,
173,16373,4230,531,,,
174,16435,4170,605,,,
175,16497,4205,621,,,
176,16489,4108,528,,,
177,16805,4240,778,,,
178,17187,4275,813,,,
179,17217,4362,631,,,
180,17314,4573,742,,,
181,17353,4492,526,,,
182,17253,4299,421,,,
183,17252,4221,445,,,
184,17308,3984,533,,,
185,17418,3691,508,,,
186,17356,3593,527,,,
187,17383,3413,565,,,
188,17307,3371,477,,,
189,16884,3104,136,,,
,,,,,,
# How well do you retain your users?,,,,,,
# Start date: 20260524,,,,,,
# End date: 20260704,,,,,,
Date,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5
May 24 - May 30,3628,64,31,21,19,14
May 31 - Jun 6,3406,83,55,33,20,-1
Jun 7 - Jun 13,3920,97,38,32,-1,-1
Jun 14 - Jun 20,4210,79,33,-1,-1,-1
Jun 21 - Jun 27,4023,67,-1,-1,-1,-1
Jun 28 - Jul 4,3797,-1,-1,-1,-1,-1
,,,,,,
#,,,,,,
# Start date: 20260101,,,,,,
# End date: 20260709,,,,,,
Page title and screen class,Views,,,,,
Shop Front Entry Doors - Double & Single | BGW Doors,13594,,,,,
African Mahogany Wood Front Exterior Door | BGW Doors,13587,,,,,
Solid Wood Exterior Entry Doors | Front Doors – BGW Doors,8037,,,,,
"BGW Doors – Wood, Fiberglass & Iron Front Doors",6784,,,,,
Solid Wood Walnut Front Exterior Door – Glass | BGW Doors,5140,,,,,
Fiberglass Front Entry Doors - Exterior | BGW Doors,3876,,,,,
Wood Double Front Entry Door - Crescent Glass | BGW Doors,3762,,,,,
Clearance Doors | Affordable | BGW Doors – Page 2,3641,,,,,
Wood Front Exterior Double Door – Etched Glass | BGW Doors,3588,,,,,
Castle Wood Exterior Entry Door - Speakeasy | BGW Doors,3368,,,,,
African Mahogany Wood Front Exterior Door – Triple Glazed Glass – BGW Doors,3321,,,,,
Clearance Doors | Affordable | BGW Doors,2183,,,,,
Front Entry Doors – Double & Single | BGW Doors,2172,,,,,
