"Customer country","Customer region","Customer city","New customer records"
"US","US-CA","US-CA-Encinitas",1
"US","US-NC","US-NC-Fayetteville",1
"US","US-CA","US-CA-Oxnard",1
"US","US-CA","US-CA-ShastaLake",1
"US","US-CA","US-CA-Bell",1
"US","US-TN","US-TN-McKenzie",1
"US","US-FL","US-FL-Davie",1
"US","US-CA","US-CA-Camarillo",1
"US","US-FL","US-FL-Immokalee",1
"US","US-CA","US-CA-RioLinda",1
"US","US-CA","US-CA-Lancaster",1
"US","US-TX","US-TX-Azle",1
"US","US-VA","US-VA-Ladysmith",1
"US","US-PA","US-PA-DingmansFerry",1
"US","US-AZ","US-AZ-LitchfieldPark",1
"US","US-CA","US-CA-SanBruno",1
"US","US-CO","US-CO-Broomfield",1
"US","US-CA","US-CA-Placentia",1
"US","US-NJ","US-NJ-PineBrook",1
"US","US-PA","US-PA-Lester",1
"US","US-CA","US-CA-WalnutCreek",1
"US","US-CA","US-CA-PasoRobles",1
"US","US-FL","US-FL-FortMyers",1
"US","US-PA","US-PA-Aliquippa",1
"US","US-AZ","US-AZ-Glendale",1
"US","US-CA","US-CA-Vallejo",1
"US","US-MA","US-MA-Leicester",1
"US","US-MD","US-MD-Hyattsville",1
"US","US-MA","US-MA-Franklin",1
"US","US-CA","US-CA-Murrieta",1
"US","US-CA","US-CA-Carlsbad",1
"US","US-MD","US-MD-Potomac",1
"US","US-NJ","US-NJ-Rutherford",1
"US","US-VA","US-VA-Beaverdam",1
"US","US-CO","US-CO-Monument",1
"US","US-CA","US-CA-SanJuanCapistrano",1
"US","US-AZ","US-AZ-Gilbert",1
"US","US-DE","US-DE-Lewes",1
"US","US-CA","US-CA-Sylmar",1
"US","US-CA","US-CA-Guadalupe",1
"US","US-MD","US-MD-Millersville",1
"US","US-NY","US-NY-Buffalo",1
"US","US-NJ","US-NJ-EastBrunswick",1
"US","US-GA","US-GA-Decatur",1
"US","US-CA","US-CA-Poway",1
"US","US-NC","US-NC-WakeForest",1
"US","US-NC","US-NC-Dana",1
"US","US-NJ","US-NJ-Sayreville",1
"US","US-NY","US-NY-OldWestbury",1
"US","US-TN","US-TN-Waverly",1
"US","US-MI","US-MI-Kalamazoo",1
"US","US-VA","ZZ",1
"US","US-MI","US-MI-DearbornHeights",1
"US","US-GA","US-GA-Winston",1
"US","US-CA","US-CA-Lawndale",1
"US","US-ID","US-ID-Preston",1
"US","US-CA","US-CA-Antioch",1
"US","US-CT","US-CT-Ridgefield",1
"US","US-MA","US-MA-NorthAndover",1
"US","US-CA","US-CA-Torrance",1
"US","US-VA","US-VA-Chesterfield",1
"US","US-CA","US-CA-HuntingtonBeach",1
"US","US-CA","US-CA-CanyonLake",1
